Name,Bifurcation,Angle,Order,Hydroclimate,Type,Termination,,
Atchafalaya,1,51,1,2,River dominated,Ocean,,
Atchafalaya,2,61,1,2,River dominated,Ocean,,
Atchafalaya,3,73,2,2,River dominated,Ocean,,
Atchafalaya,4,80,2,2,River dominated,Ocean,,
Atchafalaya,5,63,2,2,River dominated,Ocean,,
Atchafalaya,6,50,3,2,River dominated,Ocean,,
Atchafalaya,7,56,3,2,River dominated,Ocean,,
Atchafalaya,8,63,3,2,River dominated,Ocean,,
Atchafalaya,9,67,3,2,River dominated,Ocean,,
Atchafalaya,10,78,3,2,River dominated,Ocean,,
Atchafalaya,11,64,3,2,River dominated,Ocean,,
Atchafalaya,12,57,3,2,River dominated,Ocean,,
Atchafalaya,13,72,4,2,River dominated,Ocean,,
Atchafalaya,14,70,4,2,River dominated,Ocean,,
Atchafalaya,15,83,4,2,River dominated,Ocean,,
Atchafalaya,16,45,5,2,River dominated,Ocean,,
Atchafalaya,17,60,5,2,River dominated,Ocean,,
Atchafalaya,18,75,5,2,River dominated,Ocean,,
Atchafalaya,19,60,6,2,River dominated,Ocean,,
Atchafalaya,20,74,4,2,River dominated,Ocean,,
Atchafalaya,21,72,6,2,River dominated,Ocean,,
Atchafalaya,22,68,6,2,River dominated,Ocean,,
Atchafalaya,23,73,6,2,River dominated,Ocean,,
Athabasca,1,30,1,6,River dominated,Lake,,
Athabasca,2,73,2,6,River dominated,Lake,,
Athabasca,3,67,3,6,River dominated,Lake,,
Athabasca,4,82,2,6,River dominated,Lake,,
Athabasca,5,70,3,6,River dominated,Lake,,
Athabasca,6,84,3,6,River dominated,Lake,,
Athabasca,7,71,4,6,River dominated,Lake,,
Athabasca,8,103,5,6,River dominated,Lake,,
Athabasca,9,86,3,6,River dominated,Lake,,
Athabasca,10,116,4,6,River dominated,Lake,,
Athabasca,11,73,4,6,River dominated,Lake,,
Athabasca,12,43,5,6,River dominated,Lake,,
Athabasca,13,72,5,6,River dominated,Lake,,
Athabasca,14,70,6,6,River dominated,Lake,,
Athabasca,15,72,7,6,River dominated,Lake,,
Athabasca,16,34,6,6,River dominated,Lake,,
Athabasca,17,66,7,6,River dominated,Lake,,
Athabasca,18,54,7,6,River dominated,Lake,,
Athabasca,19,49,8,6,River dominated,Lake,,
Athabasca,20,78,8,6,River dominated,Lake,,
Athabasca,21,72,9,6,River dominated,Lake,,
Athabasca,22,70,9,6,River dominated,Lake,,
Athabasca,23,92,9,6,River dominated,Lake,,
Athabasca,24,71,9,6,River dominated,Lake,,
Athabasca,25,63,8,6,River dominated,Lake,,
Athabasca,26,69,9,6,River dominated,Lake,,
Athabasca,27,75,8,6,River dominated,Lake,,
Atrato,1,71,1,1,River dominated,Ocean,,
Atrato,2,45,2,1,River dominated,Ocean,,
Atrato,3,75,3,1,River dominated,Ocean,,
Atrato,4,137,3,1,River dominated,Ocean,,
Atrato,5,76,2,1,River dominated,Ocean,,
Atrato,6,80,3,1,River dominated,Ocean,,
Atrato,7,71,4,1,River dominated,Ocean,,
Atrato,8,79,4,1,River dominated,Ocean,,
Atrato,9,72,5,1,River dominated,Ocean,,
Atrato,10,89,5,1,River dominated,Ocean,,
Atrato,11,73,6,1,River dominated,Ocean,,
Atrato,12,74,6,1,River dominated,Ocean,,
Atrato,13,68,3,1,River dominated,Ocean,,
Atrato,14,85,4,1,River dominated,Ocean,,
Atrato,15,73,4,1,River dominated,Ocean,,
Atrato,16,70,5,1,River dominated,Ocean,,
Atrato,17,91,5,1,River dominated,Ocean,,
Atrato,18,98,6,1,River dominated,Ocean,,
Atrato,19,35,5,1,River dominated,Ocean,,
Atrato,20,60,6,1,River dominated,Ocean,,
Atrato,21,59,7,1,River dominated,Ocean,,
Atrato,22,61,8,1,River dominated,Ocean,,
Apalachicola,1,82,1,2,River dominated,Ocean,,
Apalachicola,2,58,2,2,River dominated,Ocean,,
Apalachicola,3,59,3,2,River dominated,Ocean,,
Apalachicola,4,158,3,2,River dominated,Ocean,,
Apalachicola,5,77,4,2,River dominated,Ocean,,
Apalachicola,6,27,4,2,River dominated,Ocean,,
Apalachicola,7,59,5,2,River dominated,Ocean,,
Apalachicola,8,33,5,2,River dominated,Ocean,,
Apalachicola,9,44,5,2,River dominated,Ocean,,
Apalachicola,10,109,5,2,River dominated,Ocean,,
Apalachicola,11,71,6,2,River dominated,Ocean,,
Apalachicola,12,59,6,2,River dominated,Ocean,,
Apalachicola,13,77,6,2,River dominated,Ocean,,
Apalachicola,14,70,7,2,River dominated,Ocean,,
Ayeyarwady,1,81,1,2,River dominated,Ocean,,
Ayeyarwady,2,96,2,2,River dominated,Ocean,,
Ayeyarwady,3,72,2,2,River dominated,Ocean,,
Ayeyarwady,4,68,3,2,River dominated,Ocean,,
Ayeyarwady,5,142,3,2,River dominated,Ocean,,
Ayeyarwady,6,54,3,2,River dominated,Ocean,,
Ayeyarwady,7,60,3,2,River dominated,Ocean,,
Burdekin,1,28,1,3,River dominated,Ocean,,
Burdekin,2,109,2,3,River dominated,Ocean,,
Burdekin,3,86,2,3,River dominated,Ocean,,
Burdekin,4,71,3,3,River dominated,Ocean,,
Burdekin,5,62,3,3,River dominated,Ocean,,
Colville,1,74,1,6,River dominated,Ocean,,
Colville,2,80,2,6,River dominated,Ocean,,
Colville,3,37,2,6,River dominated,Ocean,,
Colville,4,78,3,6,River dominated,Ocean,,
Colville,5,123,3,6,River dominated,Ocean,,
Colville,6,76,3,6,River dominated,Ocean,,
Colville,7,60,4,6,River dominated,Ocean,,
Colville,8,80,4,6,River dominated,Ocean,,
Colville,9,52,4,6,River dominated,Ocean,,
Colville,10,56,4,6,River dominated,Ocean,,
Colville,11,108,5,6,River dominated,Ocean,,
Colville,12,73,5,6,River dominated,Ocean,,
Colville,13,64,5,6,River dominated,Ocean,,
Colville,14,75,5,6,River dominated,Ocean,,
Danube,1,75,1,6,River dominated,Ocean,,
Danube,2,30,2,6,River dominated,Ocean,,
Danube,3,72,2,6,River dominated,Ocean,,
Danube,4,73,3,6,River dominated,Ocean,,
Danube,5,83,3,6,River dominated,Ocean,,
Danube,6,68,3,6,River dominated,Ocean,,
Danube,7,98,4,6,River dominated,Ocean,,
Danube,8,130,4,6,River dominated,Ocean,,
Danube,9,85,5,6,River dominated,Ocean,,
Danube,10,131,5,6,River dominated,Ocean,,
Dniper,1,60,1,4,River dominated,Ocean,,
Dniper,2,89,2,4,River dominated,Ocean,,
Dniper,3,80,3,4,River dominated,Ocean,,
Dniper,4,89,3,4,River dominated,Ocean,,
Dniper,5,65,4,4,River dominated,Ocean,,
Dniper,6,65,5,4,River dominated,Ocean,,
Don,1,99,1,6,River dominated,Ocean,,
Don,2,94,2,6,River dominated,Ocean,,
Don,3,74,2,6,River dominated,Ocean,,
Don,4,73,2,6,River dominated,Ocean,,
Don,5,117,3,6,River dominated,Ocean,,
Don,6,107,3,6,River dominated,Ocean,,
Don,7,83,3,6,River dominated,Ocean,,
Don,8,67,3,6,River dominated,Ocean,,
Don,9,84,4,6,River dominated,Ocean,,
Don,10,80,4,6,River dominated,Ocean,,
Don,11,58,4,6,River dominated,Ocean,,
Don,12,90,5,6,River dominated,Ocean,,
Don,13,83,5,6,River dominated,Ocean,,
Don,14,54,5,6,River dominated,Ocean,,
Dvina,1,66,1,6,River dominated,Ocean,,
Dvina,2,63,2,6,River dominated,Ocean,,
Dvina,3,79,3,6,River dominated,Ocean,,
Dvina,4,67,4,6,River dominated,Ocean,,
Dvina,5,70,4,6,River dominated,Ocean,,
Dvina,6,78,5,6,River dominated,Ocean,,
Dvina,7,81,5,6,River dominated,Ocean,,
Dvina,8,71,6,6,River dominated,Ocean,,
Dvina,9,76,6,6,River dominated,Ocean,,
Dvina,10,66,6,6,River dominated,Ocean,,
Khovd,1,70,1,4,River dominated,Lake,,
Khovd,2,72,2,4,River dominated,Lake,,
Khovd,3,94,2,4,River dominated,Lake,,
Khovd,4,62,3,4,River dominated,Lake,,
Khovd,5,73,3,4,River dominated,Lake,,
Khovd,6,64,4,4,River dominated,Lake,,
Khovd,7,74,5,4,River dominated,Lake,,
Khovd,8,106,6,4,River dominated,Lake,,
Khovd,9,57,7,4,River dominated,Lake,,
Kobuk,1,57,1,6,River dominated,Ocean,,
Kobuk,2,124,2,6,River dominated,Ocean,,
Kobuk,3,55,3,6,River dominated,Ocean,,
Kobuk,4,75,4,6,River dominated,Ocean,,
Kobuk,5,72,5,6,River dominated,Ocean,,
Kobuk,6,75,5,6,River dominated,Ocean,,
Kobuk,7,104,4,6,River dominated,Ocean,,
Kobuk,8,88,5,6,River dominated,Ocean,,
Kobuk,9,71,6,6,River dominated,Ocean,,
Kobuk,10,55,7,6,River dominated,Ocean,,
Kobuk,11,165,3,6,River dominated,Ocean,,
Kobuk,12,131,4,6,River dominated,Ocean,,
Kobuk,13,49,5,6,River dominated,Ocean,,
Kobuk,14,118,6,6,River dominated,Ocean,,
Kobuk,15,18,6,6,River dominated,Ocean,,
Kobuk,16,27,6,6,River dominated,Ocean,,
Kobuk,17,41,7,6,River dominated,Ocean,,
Kobuk,18,55,7,6,River dominated,Ocean,,
Kobuk,19,77,5,6,River dominated,Ocean,,
Kobuk,20,55,2,6,River dominated,Ocean,,
Kobuk,21,70,3,6,River dominated,Ocean,,
Kobuk,22,70,4,6,River dominated,Ocean,,
Krishna,1,69,2,5,Wave-influenced,Ocean,,
Krishna,2,87,3,5,Wave-influenced,Ocean,,
Krishna,3,47,1,5,Wave-influenced,Ocean,,
Lena,1,76,1,6,Tide-influenced,Ocean,,
Lena,2,67,2,6,Tide-influenced,Ocean,,
Lena,3,102,2,6,Tide-influenced,Ocean,,
