Name,Avulsion,Angle,Order,Hydroclimate,Type,Planform
Abrisham,1,59,1,4,Lake,I
Abrisham,2,39,1,4,Lake,I
Abrisham,3,22,1,4,Lake,I
Abrisham,4,20,1,4,Lake,I
Abrisham,5,65,1,4,Lake,I
Abrisham,6,26,1,4,Lake,I
Abrisham,7,40,1,4,Lake,I
Abrisham,8,33,2,4,Lake,I
Abrisham,9,38,2,4,Lake,I
Abrisham,10,32,2,4,Lake,I
Abrisham,11,41,2,4,Lake,I
Abrisham,12,63,2,4,Lake,I
Abrisham,13,42,2,4,Lake,I
Abrisham,14,87,3,4,Lake,I
Abrisham,15,84,3,4,Lake,I
Abrisham,16,83,3,4,Lake,I
Abrisham,17,55,3,4,Lake,I
Abrisham,18,66,3,4,Lake,I
Abrisham,19,55,4,4,Lake,I
Abrisham,20,46,4,4,Lake,I
Abrisham,21,48,5,4,Lake,I
Abrisham,22,53,4,4,Lake,I
Abrisham,23,103,6,4,Lake,I
Abrisham,24,91,6,4,Lake,I
Abrisham,25,50,4,4,Lake,I
Abrisham,26,89,5,4,Lake,I
Abrisham,27,54,5,4,Lake,I
Abrisham,28,47,6,4,Lake,I
Abrisham,29,68,7,4,Lake,I
Abrisham,30,66,7,4,Lake,I
Abrisham,31,37,7,4,Lake,I
Abrisham,32,35,7,4,Lake,I
Abrisham,33,38,7,4,Lake,I
Abrisham,34,67,3,4,Lake,I
Abrisham,35,84,3,4,Lake,I
Abrisham,36,65,3,4,Lake,I
Abrisham,37,24,4,4,Lake,I
Abrisham,38,32,5,4,Lake,I
Abrisham,39,47,5,4,Lake,I
Abrisham,40,34,6,4,Lake,I
Abrisham,41,45,4,4,Lake,I
Abrisham,42,35,5,4,Lake,I
Abrisham,43,63,5,4,Lake,I
Abrisham,44,60,5,4,Lake,I
Abrisham,45,53,6,4,Lake,I
Abrisham,46,24,6,4,Lake,I
Abrisham,47,72,7,4,Lake,I
Abrisham,48,90,7,4,Lake,I
Abrisham,49,50,8,4,Lake,I
Abrisham,50,55,8,4,Lake,I
Abrisham,51,39,9,4,Lake,I
Abrisham,52,51,9,4,Lake,I
Abrisham,53,87,9,4,Lake,I
Abrisham,54,71,7,4,Lake,I
Abrisham,55,90,4,4,Lake,I
Abrisham,56,91,5,4,Lake,I
Abrisham,57,42,6,4,Lake,I
Abrisham,58,21,6,4,Lake,I
Abrisham,59,87,6,4,Lake,I
Abrisham,60,48,7,4,Lake,I
Abrisham,61,86,4,4,Lake,I
Abrisham,62,61,4,4,Lake,I
Aichilik,1,77,1,6,Marine,II
Aichilik,2,43,1,6,Marine,II
Aichilik,3,46,3,6,Marine,II
Aichilik,4,89,2,6,Marine,II
Aichilik,5,48,2,6,Marine,II
Aichilik,6,55,3,6,Marine,II
Aichilik,7,69,2,6,Marine,II
Aichilik,8,58,3,6,Marine,II
Aichilik,9,72,2,6,Marine,II
Aichilik,10,84,2,6,Marine,II
Aichilik,11,46,2,6,Marine,II
Aichilik,12,43,2,6,Marine,II
Aksu,1,39,1,4,Lake,V
Aksu,2,24,2,4,Lake,V
Aksu,3,60,2,4,Lake,V
Aksu,4,53,3,4,Lake,V
Aksu,5,80,3,4,Lake,V
Aksu,6,138,4,4,Lake,V
Aksu,7,90,4,4,Lake,V
Aksu,8,79,5,4,Lake,V
Aksu,9,67,5,4,Lake,V
Aksu,10,65,6,4,Lake,V
Aksu,11,45,4,4,Lake,V
Aksu,12,68,4,4,Lake,V
Aksu,13,46,5,4,Lake,V
Aksu,14,72,6,4,Lake,V
Aksu,15,62,7,4,Lake,V
Aksu,16,92,8,4,Lake,V
Aksu,17,91,5,4,Lake,V
Aksu,18,73,5,4,Lake,V
Aksu,19,45,6,4,Lake,V
Aksu,20,47,6,4,Lake,V
Aksu,21,103,6,4,Lake,V
Aksu,22,89,7,4,Lake,V
Aksu,23,56,8,4,Lake,V
Aksu,24,46,7,4,Lake,V
Buyunda,1,47,1,6,Axial,IV
Buyunda,2,38,2,6,Axial,IV
Buyunda,3,40,2,6,Axial,IV
Buyunda,4,51,3,6,Axial,IV
Buyunda,5,41,3,6,Axial,IV
Buyunda,6,26,3,6,Axial,IV
Buyunda,7,50,3,6,Axial,IV
Buyunda,8,23,4,6,Axial,IV
Buyunda,9,22,4,6,Axial,IV
Canning,1,59,1,6,Marine,I
Canning,2,21,2,6,Marine,I
Canning,3,41,2,6,Marine,I
Canning,4,30,2,6,Marine,I
Canning,5,46,3,6,Marine,I
Canning,6,57,2,6,Marine,I
Canning,7,62,4,6,Marine,I
Canning,8,137,5,6,Marine,I
Canning,9,106,6,6,Marine,I
Canning,10,74,6,6,Marine,I
Canning,11,43,6,6,Marine,I
Canning,12,73,7,6,Marine,I
Canning,13,33,7,6,Marine,I
Canning,14,47,5,6,Marine,I
Canning,15,51,6,6,Marine,I
Canning,16,44,6,6,Marine,I
Canning,17,71,7,6,Marine,I
Canning,18,28,1,6,Marine,I
Canning,19,39,2,6,Marine,I
Canning,20,32,3,6,Marine,I
Canning,21,80,4,6,Marine,I
Cravo Norte,1,27,1,5,Contributory,IV
Cravo Norte,2,45,1,5,Contributory,IV
Cravo Norte,3,26,1,5,Contributory,IV
Cravo Norte,4,28,1,5,Contributory,IV
Cravo Norte,5,45,1,5,Contributory,IV
Cravo Norte,6,50,1,5,Contributory,IV
Cravo Norte,7,32,2,5,Contributory,IV
Cravo Norte,8,28,2,5,Contributory,IV
Cravo Norte,9,34,2,5,Contributory,IV
Cuando,1,49,1,4,Contributory,VI
Cuando,2,60,2,4,Contributory,VI
Cuando,3,26,3,4,Contributory,VI
Cuando,4,55,2,4,Contributory,VI
Cuando,5,92,3,4,Contributory,VI
Cuando,6,66,4,4,Contributory,VI
Cuando,7,104,4,4,Contributory,VI
Cuando,8,87,5,4,Contributory,VI
Cuando,9,75,4,4,Contributory,VI
Cuando,10,28,5,4,Contributory,VI
Dzavhan Gol,1,20,1,4,Lake,I
Dzavhan Gol,2,41,1,4,Lake,I
Dzavhan Gol,3,52,1,4,Lake,I
Dzavhan Gol,4,69,2,4,Lake,I
Dzavhan Gol,5,50,3,4,Lake,I
Dzavhan Gol,6,44,3,4,Lake,I
Dzavhan Gol,7,69,3,4,Lake,I
Dzavhan Gol,8,82,4,4,Lake,I
Dzavhan Gol,9,98,4,4,Lake,I
Dzavhan Gol,10,84,4,4,Lake,I
Dzavhan Gol,11,93,5,4,Lake,I
Dzavhan Gol,12,95,5,4,Lake,I
Dzavhan Gol,13,85,5,4,Lake,I
Dzavhan Gol,14,65,6,4,Lake,I
Dzavhan Gol,15,68,7,4,Lake,I
Dzavhan Gol,16,36,2,4,Lake,I
Dzavhan Gol,17,29,2,4,Lake,I
Dzavhan Gol,18,56,2,4,Lake,I
Dzavhan Gol,19,29,3,4,Lake,I
Dzavhan Gol,20,65,3,4,Lake,I
Dzavhan Gol,21,54,3,4,Lake,I
Dzavhan Gol,22,32,3,4,Lake,I
Dzavhan Gol,23,36,4,4,Lake,I
Dzavhan Gol,24,24,4,4,Lake,I
Dzavhan Gol,25,91,4,4,Lake,I
Dzavhan Gol,26,44,4,4,Lake,I
Dzavhan Gol,27,53,4,4,Lake,I
Dzavhan Gol,28,78,5,4,Lake,I
Dzavhan Gol,29,43,5,4,Lake,I
Dzavhan Gol,30,37,5,4,Lake,I
Dzavhan Gol,31,52,6,4,Lake,I
Dzavhan Gol,32,27,6,4,Lake,I
Dzavhan Gol,33,100,7,4,Lake,I
Dzavhan Gol,34,73,7,4,Lake,I
Dzavhan Gol,35,61,8,4,Lake,I
Dzavhan Gol,36,25,3,4,Lake,I
Dzavhan Gol,37,27,4,4,Lake,I
Dzavhan Gol,38,51,5,4,Lake,I
Dzavhan Gol,39,42,5,4,Lake,I
Gash,1,43,1,4,Wetlands,IV
Gash,2,31,2,4,Wetlands,IV
Gash,3,41,3,4,Wetlands,IV
Gash,4,64,2,4,Wetlands,IV
Gash,5,63,3,4,Wetlands,IV
Gash,6,36,4,4,Wetlands,IV
Gash,7,53,5,4,Wetlands,IV
Gash,8,24,5,4,Wetlands,IV
Gash,9,21,5,4,Wetlands,IV
Gash,10,66,6,4,Wetlands,IV
Gash,11,43,7,4,Wetlands,IV
Gash,12,34,7,4,Wetlands,IV
Gash,13,47,8,4,Wetlands,IV
Gede-An-Chay,1,20,1,5,Axial,I
Gede-An-Chay,2,23,2,5,Axial,I
Gede-An-Chay,3,24,2,5,Axial,I
Gede-An-Chay,4,55,3,5,Axial,I
Gede-An-Chay,5,30,3,5,Axial,I
Gede-An-Chay,6,44,3,5,Axial,I
Gede-An-Chay,7,49,4,5,Axial,I
Gilbert,1,55,1,3,Contributory,I
Gilbert,2,29,1,3,Contributory,I
Gilbert,3,44,2,3,Contributory,I
Gilbert,4,40,2,3,Contributory,I
Gilbert,5,35,3,3,Contributory,I
Gilbert,6,44,3,3,Contributory,I
Gilbert,7,58,3,3,Contributory,I
Gilbert,8,30,3,3,Contributory,I
Gilbert,9,75,4,3,Contributory,I
Gilbert,10,40,4,3,Contributory,I
Gilbert,11,32,2,3,Contributory,I
Gilbert,12,89,2,3,Contributory,I
Gilbert,13,54,3,3,Contributory,I
Gilbert,14,70,4,3,Contributory,I
Gilbert,15,48,5,3,Contributory,I
Gilbert,16,65,3,3,Contributory,I
Gilbert,17,56,4,3,Contributory,I
Gilbert,18,52,5,3,Contributory,I
Golmud He,1,49,1,4,Lake,I
Golmud He,2,52,1,4,Lake,I
Great Ruaha,1,35,1,4,Lake,V
Great Ruaha,2,40,2,4,Lake,V
Great Ruaha,3,83,3,4,Lake,V
Great Ruaha,4,92,4,4,Lake,V
Great Ruaha,5,148,2,4,Lake,V
Hali Rud,1,58,1,4,Contributory,I
Hali Rud,2,24,2,4,Contributory,I
Hali Rud,3,79,2,4,Contributory,I
Hali Rud,4,47,3,4,Contributory,I
Ili,1,38,1,4,Lake,V
Ili,2,30,1,4,Lake,V
Ili,3,54,1,4,Lake,V
Ili,4,27,2,4,Lake,V
Ili,5,26,2,4,Lake,V
Ili,6,38,2,4,Lake,V
Ili,7,46,2,4,Lake,V
Ili,8,66,3,4,Lake,V
Ili,9,36,3,4,Lake,V
Ili,10,82,3,4,Lake,V
Ili,11,45,3,4,Lake,V
Ili,12,48,3,4,Lake,V
Ili,13,46,3,4,Lake,V
Ili,14,67,1,4,Lake,V
Ili,15,25,2,4,Lake,V
Ili,16,63,3,4,Lake,V
Ili,17,105,4,4,Lake,V
Ili,18,94,3,4,Lake,V
Ili,19,45,4,4,Lake,V
Ili,20,93,4,4,Lake,V
Ili,21,33,4,4,Lake,V
Ili,22,83,5,4,Lake,V
Ili,23,70,6,4,Lake,V
Ili,24,49,7,4,Lake,V
Ili,25,45,4,4,Lake,V
Ili,26,120,5,4,Lake,V
Ili,27,75,6,4,Lake,V
Ili,28,60,6,4,Lake,V
Ili,29,42,7,4,Lake,V
Ili,30,39,8,4,Lake,V
Ili,31,57,7,4,Lake,V
Ili,32,90,8,4,Lake,V
Ili,33,135,5,4,Lake,V
Ili,34,23,5,4,Lake,V
Ili,35,35,6,4,Lake,V
Ili,36,20,7,4,Lake,V
Girwa,1,61,1,3,Marine,II
Girwa,2,46,1,3,Marine,II
Girwa,3,68,1,3,Marine,II
Girwa,4,44,2,3,Marine,II
Girwa,5,45,2,3,Marine,II
Girwa,6,50,3,3,Marine,II
Girwa,7,25,3,3,Marine,II
Girwa,8,90,4,3,Marine,II
Girwa,9,89,5,3,Marine,II
Girwa,10,39,5,3,Marine,II
Kichhu,1,63,1,3,Axial,I
Kichhu,2,50,2,3,Axial,I
Kongakut,1,50,1,6,Marine,I
Kongakut,2,26,1,6,Marine,I
Kongakut,3,62,2,6,Marine,I
Kongakut,4,60,2,6,Marine,I
Kongakut,5,37,2,6,Marine,I
Kongakut,6,44,2,6,Marine,I
Kongakut,7,46,2,6,Marine,I
