Name,Type,Subtype,Length,Hydroclimate,Latitude,Longitude,Lake,Slope,Planform
Apalachicola,Delta,River dominated,14.3,2,29.485,91.271,Ocean,,
Atchafalaya,Delta,River dominated,12.89,2,9.824,-85.022,Ocean,,
Athabasca,Delta,River dominated,37.85,6,58.503,-110.808,Lake,,
Atrato,Delta,River dominated,34.42,1,7.922,-77.0155,Ocean,,
Ayeyarwady,Delta,Tide-influenced,26.8,2,16.404,95.9223,Ocean,,
Burdekin,Delta,Tide-influenced,13.35,3,-19.66,147.501,Ocean,,
Colville,Delta,River dominated,111.61,6,70.181,-150.916,Ocean,,
Danube,Delta,Wave-influenced,121.42,6,45.225,28.738,Ocean,,
Dnieper,Delta,River dominated,28.89,4,46.556,32.551,Ocean,,
Don,Delta,River dominated,29.87,6,47.131,39.457,Ocean,,
Dvina,Delta,Tide-influenced,63.3,6,64.531,40.506,Ocean,,
Khovd,Delta,River dominated,34.21,4,48.211,92.021,Lake,,
Krishna,Delta,Wave-influenced,40.57,5,16.045,80.888,Ocean,,
Kobuk,Delta,River dominated,146.18,6,66.906,-160.154,Ocean,,
Lena,Delta,Tide-influenced,171.81,6,72.406,126.695,Ocean,,
Mackenzie,Delta,Tide-influenced,155.05,6,68.935,-134.805,Ocean,,
Mahakam,Delta,Tide-influenced,38.21,1,-0.582,117.279,Ocean,,
Mamawi,Delta,River dominated,8.01,6,58.577,-111.493,Lake,,
Mekong,Delta,Tide-influenced,166.23,2,10.719,105.359,Ocean,,
Mississippi,Delta,River dominated,17.7,5,29.155,-89.251,Ocean,,
Niger,Delta,Tide-influenced,118.56,2,5.325,6.423,Ocean,,
Orinoco,Delta,Tide-influenced,173.65,2,8.598,-62.234,Ocean,,
Parana,Delta,River dominated,129.24,5,-33.728,-59.285,Ocean,,
Po,Delta,Wave-influenced,55.03,5,44.975,12.049,Ocean,,
Poyang,Delta,River dominated,17.34,5,28.985,116.228,Lake,,
Protoka Ularovskaya,Delta,Tide-influenced,91.74,6,70.819,148.916,Ocean,,
